student_id,nom,prenom,sexe,date_naissance,departement,filiere,niveau,annee_academique,ue,matiere,enseignant,note
EPL0001,DELANNOY,Danielle,F,29/06/2000,Génie Civil,GC Bâtiment,M1,2025-2026,UE301,Mathématiques,Prof TRAORE,13.49
EPL0002,ROBERT,Agathe,F,18/09/1995,Génie Civil,GC Bâtiment,L2,2025-2026,UE102,Électricité,Prof TRAORE,11.59
EPL0003,PETIT,Danielle,M,23/03/2007,Informatique,Génie Logiciel,M1,2025-2026,UE401,Machine Learning,Mme KOUADIO,13.94
EPL0004,DIJOUX,Sophie,F,26/03/2001,Génie Civil,GC Bâtiment,L3,2025-2026,UE201,Résistance des matériaux,Mme KOUADIO,16.57
EPL0005,BERNARD,Agathe,F,18/09/2002,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,Prof TRAORE,11.3
EPL0006,DELANNOY,Sophie,M,20/05/2007,Informatique,Intelligence Artificielle,L3,2025-2026,UE302,Base de données,Mme KOUADIO,11.3
EPL0007,WAGNER,Lucas,M,22/03/2000,Génie Civil,GC Travaux Publics,L3,2025-2026,UE201,Résistance des matériaux,Prof TRAORE,16.74
EPL0008,DUPONT,Madeleine,F,20/12/2002,Génie Civil,GC Travaux Publics,M1,2025-2026,UE301,Mathématiques,Prof TRAORE,14.3
EPL0009,DIJOUX,Julie,M,31/08/1998,Informatique,Intelligence Artificielle,M1,2025-2026,UE401,Machine Learning,Prof TRAORE,10.59
EPL0010,DUPONT,Danielle,M,20/09/1995,Informatique,Intelligence Artificielle,M1,2025-2026,UE401,Machine Learning,Mme KOUADIO,13.63
EPL0011,PETIT,Emma,M,13/03/2006,Informatique,Intelligence Artificielle,L3,2025-2026,UE302,Base de données,Mme KOUADIO,10.61
EPL0012,WAGNER,Julie,F,10/08/2004,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,Mme KOUADIO,10.6
EPL0013,ROBERT,Thomas,M,21/01/1996,Génie Civil,GC Bâtiment,M1,2025-2026,UE301,Mathématiques,Prof TRAORE,12.73
EPL0014,BERNARD,Antoine,M,19/08/2003,Informatique,Intelligence Artificielle,M1,2025-2026,UE401,Machine Learning,Prof TRAORE,6.26
EPL0015,DELANNOY,Julie,F,18/08/2002,Génie Civil,GC Travaux Publics,L3,2025-2026,UE201,Résistance des matériaux,M. DADEOU,6.83
EPL0016,SCHMITT,Lucas,M,21/05/2006,Génie Civil,GC Travaux Publics,M1,2025-2026,UE301,Mathématiques,Mme KOUADIO,10.31
EPL0017,DUPONT,Madeleine,M,09/04/2002,Informatique,Génie Logiciel,L3,2025-2026,UE302,Base de données,M. DADEOU,8.96
EPL0018,WAGNER,Danielle,M,22/09/2007,Génie Civil,GC Bâtiment,M1,2025-2026,UE301,Mathématiques,Mme KOUADIO,12.94
EPL0019,ROBERT,Madeleine,M,29/08/2005,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,Mme KOUADIO,9.28
EPL0020,ROBERT,Stéphane,F,13/12/2003,Réseaux & Télécoms,Télécommunications,L2,2025-2026,UE202,Transmission de données,Mme KOUADIO,7.76
EPL0021,WAGNER,Stéphane,M,01/08/2002,Génie Civil,GC Bâtiment,M1,2025-2026,UE301,Mathématiques,Mme KOUADIO,16.4
EPL0022,DELANNOY,Danielle,M,06/07/1996,Génie Civil,GC Travaux Publics,L2,2025-2026,UE102,Électricité,M. DADEOU,11.32
EPL0023,MOREAU,Stéphane,M,22/10/2007,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,M. DADEOU,12.2
EPL0024,WAGNER,Agathe,M,01/09/2004,Informatique,Intelligence Artificielle,M1,2025-2026,UE401,Machine Learning,Prof TRAORE,7.73
EPL0025,SCHMITT,Agathe,M,12/01/2004,Réseaux & Télécoms,Télécommunications,L1,2025-2026,UE101,Réseaux de base,Mme KOUADIO,10.37
EPL0026,WAGNER,Julie,F,22/02/1998,Informatique,Génie Logiciel,M1,2025-2026,UE401,Machine Learning,Mme KOUADIO,12.33
